Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,scholarid
24,University of Michigan-Ann Arbor,Robert P. Dick,,"AI,Interdisciplinary Areas ,System",https://ece.engin.umich.edu/personnel/dick-robert,,,,,"Artificial intelligence,Machine learning,Human-computer interaction,Computer architecture,Design automation,Embedded & real-time systems ,Mobile computing",p2I_CecAAAAJ
24,University of Michigan-Ann Arbor,Barzan Mozafari,,"AI,System",http://web.eecs.umich.edu/~mozafari,,,,,"Artificial intelligence,Machine learning,Computer security,Databases,Operating systems,Programming languages",HHd7uewAAAAJ
24,University of Michigan-Ann Arbor,Ambuj Tewari,,AI,https://ambujtewari.github.io,,,,,"Artificial intelligence,Machine learning",ttbl4FsAAAAJ
24,University of Michigan-Ann Arbor,Quentin F. Stout,,"AI,System,Theory",http://web.eecs.umich.edu/~qstout,,,,,"Computer vision,High-performance computing,Algorithms & complexity",ypOvMY0AAAAJ
24,University of Michigan-Ann Arbor,Mingyan Liu,,"AI,Interdisciplinary Areas ,System",http://web.eecs.umich.edu/~mingyan,,,,,"Artificial intelligence,Computer vision,Machine learning,Economics & computation,Computer security,Measurement & perf. analysis ,Mobile computing",WiIM-MgAAAAJ
24,University of Michigan-Ann Arbor,Z. Morley Mao,,"AI,Interdisciplinary Areas ,System",http://web.eecs.umich.edu/~zmao,,,,,"Computer vision,Machine learning,The Web & information retrieval   ,Human-computer interaction,Computer networks,Computer security,Design automation,Measurement & perf. analysis ,Mobile computing,Operating systems",NOSCHOLARPAGE
24,University of Michigan-Ann Arbor,Ang Chen 0001,,"AI,System",https://web.eecs.umich.edu/~chenang,,,,,"Machine learning,Computer architecture,Computer networks,Computer security,Databases,Measurement & perf. analysis ,Operating systems",8Y4dDxkAAAAJ
24,University of Michigan-Ann Arbor,Andrew Owens,,"AI,Interdisciplinary Areas ",http://andrewowens.com,,,,,"Computer vision,Machine learning, Computer graphics,Human-computer interaction,Robotics",9hX-JksAAAAJ
24,University of Michigan-Ann Arbor,Qing Qu 0001,,AI,https://qingqu.engin.umich.edu,,,,,Machine learning,JfblW3MAAAAJ
24,University of Michigan-Ann Arbor,Qiaozhu Mei,,"AI,Interdisciplinary Areas ,System",http://www-personal.umich.edu/~qmei,,,,," Natural language processing,Machine learning,The Web & information retrieval   ,Human-computer interaction,Databases,Measurement & perf. analysis ,Software engineering",zr22WkQAAAAJ
24,University of Michigan-Ann Arbor,Alfred O. Hero III,,AI,http://web.eecs.umich.edu/~hero,,,,,"Computer vision,Machine learning",NOSCHOLARPAGE
24,University of Michigan-Ann Arbor,Zeeshan Syed,,AI,http://web.eecs.umich.edu/~zhs,,,,,"Artificial intelligence,Machine learning",BqYF2IsAAAAJ
24,University of Michigan-Ann Arbor,Rada Mihalcea,,AI,https://web.eecs.umich.edu/~mihalcea,,,,," Natural language processing,Artificial intelligence,Computer vision,Machine learning",UetM7FgAAAAJ
24,University of Michigan-Ann Arbor,Mosharaf Chowdhury,,"AI,System",http://www.mosharaf.com,,,,,"Machine learning,Computer architecture,Computer networks,Databases,Measurement & perf. analysis ,Mobile computing,Operating systems",Dzh5C9EAAAAJ
24,University of Michigan-Ann Arbor,Kang G. Shin,,"AI,Interdisciplinary Areas ,System",http://web.eecs.umich.edu/~kgshin,,,,,"Artificial intelligence,The Web & information retrieval   ,Human-computer interaction,Robotics,Computer architecture,Computer networks,Computer security,Embedded & real-time systems ,Measurement & perf. analysis ,Mobile computing,Operating systems,Programming languages",vY7MdLYAAAAJ
24,University of Michigan-Ann Arbor,Benjamin Fish,,AI,http://ben.fish,,,,,"Artificial intelligence,The Web & information retrieval   ",ZHWyQWAAAAAJ
24,University of Michigan-Ann Arbor,Michal Derezinski,,"AI,Theory",https://users.soe.ucsc.edu/~mderezin,,,,,"Machine learning,Algorithms & complexity",qhP66JAAAAAJ
24,University of Michigan-Ann Arbor,Joyce Y. Chai,,"AI,Interdisciplinary Areas ",https://web.eecs.umich.edu/~chaijy,,,,," Natural language processing,Artificial intelligence,Machine learning,The Web & information retrieval   ,Robotics",9BXK9HwAAAAJ
24,University of Michigan-Ann Arbor,John E. Laird,,AI,http://ai.eecs.umich.edu/people/laird,,,,,"Artificial intelligence,Machine learning",ea6cjVUAAAAJ
24,University of Michigan-Ann Arbor,Justin Johnson 0001,,AI,https://cs.stanford.edu/people/jcjohns,,,,,"Computer vision,Machine learning",NOSCHOLARPAGE
24,University of Michigan-Ann Arbor,Jeong Joon Park,,AI,https://jjparkcv.github.io,,,,,Computer vision,aD5pXLoAAAAJ
24,University of Michigan-Ann Arbor,Jenna Wiens,,AI,http://www-personal.umich.edu/~wiensj,,,,,"Artificial intelligence,Machine learning",NOSCHOLARPAGE
24,University of Michigan-Ann Arbor,Jason Mars,,"AI,Interdisciplinary Areas ,System",http://jasonmars.org,,,,," Natural language processing,Human-computer interaction,Computer architecture,High-performance computing,Operating systems,Programming languages,Software engineering",Fn5PadcAAAAJ
24,University of Michigan-Ann Arbor,Jason J. Corso,,"AI,Interdisciplinary Areas ",https://web.eecs.umich.edu/~jjcorso,,,,,"Artificial intelligence,Computer vision,Machine learning,Human-computer interaction,Robotics",g9bV-_sAAAAJ
24,University of Michigan-Ann Arbor,Michael P. Wellman,,"AI,Interdisciplinary Areas ",http://www.eecs.umich.edu/ai/people/wellman,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation",UruIct4AAAAJ
24,University of Michigan-Ann Arbor,Daniel M. Romero,,"AI,Interdisciplinary Areas ",http://www.dromero.org,,,,,"The Web & information retrieval   ,Human-computer interaction",c4M3MQoAAAAJ
